version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_ens	crps	crpss	ign	me	rmse	spread	me_oerr	rmse_oerr	spread_oerr	spread_plus_oerr	crpscl	crps_emp	crpscl_emp	crpss_emp	crps_emp_fair	spread_md	mae	mae_oerr	bias_ratio	n_ge_obs	me_ge_obs	n_lt_obs	me_lt_obs	stat_name	stat_value
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	360000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-05	0	2022-05-06 11:30:01	2022-05-06 12:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4543	10.0	1.00547	NA	2.21405	0.1523	1.80568	0.96853	0.15003	1.83669	1.46754	1.46562	NA	1.03274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	360000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-05	0	2022-05-06 11:30:01	2022-05-06 12:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4469	10.0	1.07843	NA	2.31497	0.46351	2.1262	1.1884	0.46547	2.15647	1.61166	1.61935	NA	1.11141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	360000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-05	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4489	10.0	1.01767	NA	2.1335	0.64829	1.81545	1.02177	0.64162	1.84973	1.56727	1.57608	NA	1.04943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	270000	2022-05-06 03:00:00	2022-05-06 03:00:00	2022-05-05	0	2022-05-06 02:30:01	2022-05-06 03:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4240	10.0	1.04241	NA	2.36646	-0.19734	1.84835	0.92983	-0.20235	1.88891	1.43607	1.44034	NA	1.07416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	270000	2022-05-06 03:00:00	2022-05-06 03:00:00	2022-05-05	0	2022-05-06 02:30:01	2022-05-06 03:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4163	10.0	1.3203	NA	2.73951	0.86092	2.61233	1.17274	0.86265	2.63545	1.60808	1.60789	NA	1.35812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	270000	2022-05-06 03:00:00	2022-05-06 03:00:00	2022-05-05	0	2022-05-06 02:30:01	2022-05-06 03:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4177	10.0	1.06594	NA	2.17358	0.67681	1.85873	1.11908	0.67433	1.90133	1.64584	1.64084	NA	1.09424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	220000	2022-05-05 22:00:00	2022-05-05 22:00:00	2022-05-05	0	2022-05-05 21:30:01	2022-05-05 22:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4126	10.0	1.12126	NA	2.36761	-0.37439	2.03801	1.46077	-0.38294	2.06646	1.82236	1.82862	NA	1.15719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	220000	2022-05-05 22:00:00	2022-05-05 22:00:00	2022-05-05	0	2022-05-05 21:30:01	2022-05-05 22:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4053	10.0	1.36011	NA	3.08123	0.86275	2.67462	1.19929	0.86829	2.6966	1.62663	1.62736	NA	1.39776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	220000	2022-05-05 22:00:00	2022-05-05 22:00:00	2022-05-05	0	2022-05-05 21:30:01	2022-05-05 22:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4001	10.0	1.04817	NA	2.16977	0.1661	1.81261	1.15151	0.16353	1.85584	1.66676	1.66312	NA	1.07418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	230000	2022-05-05 23:00:00	2022-05-05 23:00:00	2022-05-05	0	2022-05-05 22:30:01	2022-05-05 23:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3938	10.0	1.13654	NA	2.34226	-0.51154	2.03627	1.38072	-0.52001	2.07339	1.76812	1.76533	NA	1.17172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	230000	2022-05-05 23:00:00	2022-05-05 23:00:00	2022-05-05	0	2022-05-05 22:30:01	2022-05-05 23:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3868	10.0	1.42259	NA	3.14223	0.92806	2.80388	1.20909	0.92678	2.82458	1.63296	1.6346	NA	1.46084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	230000	2022-05-05 23:00:00	2022-05-05 23:00:00	2022-05-05	0	2022-05-05 22:30:01	2022-05-05 23:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3844	10.0	1.05581	NA	2.16922	0.33247	1.84179	1.17584	0.33968	1.8785	1.68715	1.68006	NA	1.08459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	120000	2022-05-05 12:00:00	2022-05-05 12:00:00	2022-05-05	0	2022-05-05 11:30:01	2022-05-05 12:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4460	10.0	0.8912	NA	2.42669	0.25063	1.8074	0.65631	0.25149	1.84444	1.28228	1.28091	NA	0.91656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	120000	2022-05-05 12:00:00	2022-05-05 12:00:00	2022-05-05	0	2022-05-05 11:30:01	2022-05-05 12:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4387	10.0	0.85677	NA	2.12429	0.11794	1.74863	0.8514	0.11626	1.78939	1.38756	1.391	NA	0.88373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	120000	2022-05-05 12:00:00	2022-05-05 12:00:00	2022-05-05	0	2022-05-05 11:30:01	2022-05-05 12:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4382	10.0	0.93647	NA	2.0192	0.55956	1.625	0.95253	0.55298	1.66987	1.52983	1.5321	NA	0.96462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
